날짜,제목,링크,분류,첨부파일
2008年12月1日,（お知らせ）年末年始における輸出入承認及び関税割当関係等の申請受付について（PDF形式：59KB）,boekikanri/download/misc/2008/20081201_008_zz.pdf,その他,
2008年11月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（12月）（PDF形式：7KB）,boekikanri/download/misc/2008/20081125_009_zz.pdf,その他,
2008年10月30日,輸入公表の一部改正について（ワシントン条約関係）（PDF形式：10KB）,boekikanri/download/cites/2008/20081030_010_ci.pdf,輸入,
2008年10月30日,「輸入公表三の7の（6）に基づく経済産業大臣の輸入に関する確認について」等の一部改正等について（PDF形式：16KB）,boekikanri/download/import/2008/20081030_011_im.pdf,輸入,
2008年10月27日,輸入公表の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：3KB）,boekikanri/download/import/2008/20081027_012_im.pdf,輸入,
2008年10月27日,輸出注意事項の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：2KB）,boekikanri/download/export/2008/20081027_013_ex.pdf,輸出,
2008年10月27日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（11月）（PDF形式：7KB）,boekikanri/download/misc/2008/20081027_014_zz.pdf,その他,
2008年10月27日,「絶滅のおそれのある野生動植物等に係る輸出許可書の申請要領等について」の一部改正について（PDF形式：17KB）,boekikanri/download/cites/2008/20081027_015_ci.pdf,輸出,
2008年10月10日,【プレス発表資料】外国為替及び外国貿易法に基づく北朝鮮からの輸入禁止措置等の継続について（PDF形式：38KB）,boekikanri/download/seisai/kitachosen/20081010_016_sn.pdf,経済制裁,
2008年9月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（10月）（PDF形式：7KB）,boekikanri/download/misc/2008/20080925_022_zz.pdf,その他,
2008年8月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（9月）（PDF形式：7KB）,boekikanri/download/misc/2008/20080825_023_zz.pdf,その他,
2008年8月21日,「「国際貿易の対象となる特定の有害な化学物質及び駆除剤についての事前のかつ情報に基づく同意の手続に関するロッテルダム条約」及び「残留性有機汚染物質に関するストックホルム条約」の締約国について」の一部改正について（PDF形式：5KB）,boekikanri/download/export/2008/20080821_024_ex.pdf,輸出,
2008年8月18日,輸入公表の一部改正について（ワシントン条約等締約国の追加）（PDF形式：5KB）,boekikanri/download/import/2008/20080818_025_im.pdf,輸入,
2008年8月18日,輸出注意事項の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：67KB）,boekikanri/download/export/2008/20080818_026_ex.pdf,輸出,
2008年8月18日,「絶滅のおそれのある野生動植物の種の国際取引に関する条約の締約国等について」の一部改正について（PDF形式：59KB）,boekikanri/download/cites/2008/20080818_027_ci.pdf,輸出,
2008年7月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（8月）（PDF形式：80KB）,boekikanri/download/misc/2008/20080725_028_zz.pdf,その他,
2008年7月1日,「絶滅のおそれのある野生動植物の種の国際取引に関する条約第5条の規定に基づく再輸出証明書等の申請手続等について（お知らせ）」の制定について（PDF形式：372KB）,boekikanri/download/cites/2008/20080701_029_ci.pdf,輸出,
2008年6月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（7月）（PDF形式：164KB）,boekikanri/download/misc/2008/20080625_030_zz.pdf,その他,
2008年6月25日,（お知らせ）財務大臣が日本銀行本店において公示している平成20年7月1日から平成20年12月31日までの間において適用される基準外国為替相場及び裁定外国為替相場について（PDF形式：99KB）,boekikanri/download/misc/2008/20080625_031_zz.pdf,その他,
2008年6月16日,輸入公表の一部改正について（ワシントン条約等締約国の追加）（PDF形式：54KB）,boekikanri/download/cites/2008/20080616_032_ci.pdf,輸入,
2008年6月16日,輸出注意事項の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：59KB）,boekikanri/download/export/2008/20080616_033_ex.pdf,輸出,
2008年6月16日,「絶滅のおそれのある野生動植物の種の国際取引に関する条約の締約国等について」の一部改正について（PDF形式：57KB）,boekikanri/download/cites/2008/20080616_034_ci.pdf,輸出,
2008年6月11日,輸入公表の一部改正について（みなみまぐろ関係）（PDF形式：48KB）,boekikanri/download/import/2008/20080611_035_im.pdf,輸入,
2008年6月9日,「「国際貿易の対象となる特定の有害な化学物質及び駆除剤についての事前のかつ情報に基づく同意の手続に関するロッテルダム条約」及び「残留性有機汚染物質に関するストックホルム条約」の締約国について」の一部改正について（PDF形式：65KB）,boekikanri/download/export/2008/20080609_036_ex.pdf,輸出,
2008年5月30日,「口蹄疫ワクチンの輸入の承認について」の制定について（PDF形式：123KB）,boekikanri/download/import/2008/20080530_037_im.pdf,輸入,
2008年5月26日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（6月）（PDF形式：163KB）,boekikanri/download/misc/2008/20080526_038_zz.pdf,その他,
2008年5月21日,輸入公表の一部改正について（くろまぐろ関係）（PDF形式：49KB）,boekikanri/download/import/2008/20080521_039_im.pdf,輸入,
2008年5月21日,「くろまぐろの漁獲証明制度導入に伴う取扱いについて」の制定について（PDF形式：71KB）,boekikanri/download/import/2008/20080521_040_im.pdf,輸入,
2008年5月21日,「輸入公表三の7の（3）に基づく経済産業大臣の輸入に関する確認について」の一部改正について（PDF形式：429KB）,boekikanri/download/import/2008/20080521_041_im.pdf,輸入,
2008年5月21日,「生鮮又は冷蔵のくろまぐろを輸入する場合の取扱いについて」の一部改正について（PDF形式：633KB）,boekikanri/download/import/2008/20080521_042_im.pdf,輸入,
2008年5月8日,「「国際貿易の対象となる特定の有害な化学物質及び駆除剤についての事前のかつ情報に基づく同意の手続に関するロッテルダム条約」及び「残留性有機汚染物質に関するストックホルム条約」の締約国について」の一部改正について（PDF形式：64KB）,boekikanri/download/export/2008/20080508_043_ex.pdf,輸出,
2008年4月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（5月）（PDF形式：163KB）,boekikanri/download/misc/2008/20080425_044_zz.pdf,その他,
2008年4月15日,輸入公表の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：48KB）,boekikanri/download/import/2008/20080415_045_im.pdf,輸入,
2008年4月15日,輸出注意事項の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：56KB）,boekikanri/download/export/2008/20080415_046_ex.pdf,輸出,
2008年4月11日,【プレス発表資料】外国為替及び外国貿易法に基づく北朝鮮からの輸入禁止措置等の継続について（PDF形式：101KB）,boekikanri/download/seisai/kitachosen/20080411_047_sn.pdf,経済制裁,
2008年3月26日,「中華人民共和国を原産地又は船積地域とするさけ及びます並びにこれらの調製品を輸入しようとする場合の2号承認申請の前の確認申請について」の一部改正について（PDF形式：134KB）,boekikanri/download/import/2008/20080326_052_im.pdf,輸入,
2008年3月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（4月）（PDF形式：163KB）,boekikanri/download/misc/2008/20080325_053_zz.pdf,その他,
2008年3月25日,「廃棄物の輸入の承認について」の一部改正について（PDF形式：79KB）,boekikanri/download/import/2008/20080325_054_im.pdf,輸入,
2008年3月7日,「「国際貿易の対象となる特定の有害な化学物質及び駆除剤についての事前のかつ情報に基づく同意の手続に関するロッテルダム条約」及び「残留性有機汚染物質に関するストックホルム条約」の締約国について」の一部改正について（PDF形式：65KB）,boekikanri/download/export/2008/20080307_055_ex.pdf,輸出,
2008年3月3日,輸入公表の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：47KB）,boekikanri/download/import/2008/20080303_056_im.pdf,輸入,
2008年3月3日,輸出注意事項の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：56KB）,boekikanri/download/export/2008/20080303_057_ex.pdf,輸出,
2008年2月28日,「ワシントン条約附属書 II に掲げるキャビアの取扱いについて」の制定について（PDF形式：69KB）,boekikanri/download/cites/2008/20080228_058_ci.pdf,輸入,
2008年2月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（3月）（PDF形式：163KB）,boekikanri/download/misc/2008/20080225_059_zz.pdf,その他,
2008年2月14日,「国際貿易の対象となる特定の有害な化学物質及び駆除剤についての事前のかつ情報に基づく同意の手続に関するロッテルダム条約」及び「残留性有機汚染物質に関するストックホルム条約」の締約国について」の一部改正について（PDF形式：62KB）,boekikanri/download/export/2008/20080214_060_ex.pdf,輸出,
2008年1月30日,「国際貿易の対象となる特定の有害な化学物質及び駆除剤についての事前のかつ情報に基づく同意の手続に関するロッテルダム条約」及び「残留性有機汚染物質に関するストックホルム条約」の締約国について」の一部改正について（PDF形式：64KB）,boekikanri/download/export/2008/20080130_061_ex.pdf,輸出,
2008年1月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（2月）（PDF形式：161KB）,boekikanri/download/misc/2008/20080125_062_zz.pdf,その他,
2008年1月24日,輸入公表の一部改正について（モントリオール議定書関係）（PDF形式：73KB）,boekikanri/download/import/2008/20080124_063_im.pdf,輸入,
2008年1月24日,「試験研究用又は分析に用いられる、モントリオール議定書附属書Ａのグループ I に属する物質等の輸入の確認について」の一部改正について（PDF形式：88KB）,boekikanri/download/import/2008/20080124_064_im.pdf,輸入,
2008年1月23日,「キンバリー・プロセス証明制度の参加国等について」の一部改正について（PDF形式：58KB）,boekikanri/download/exim/2008/20080123_065_ei.pdf,輸出入,
2008年1月11日,輸入公表の一部改正について（締約国の追加）（PDF形式：54KB）,boekikanri/download/import/2008/20080111_066_im.pdf,輸入,
2007年12月27日,輸入公表の一部改正について（麻薬の追加）（PDF形式：51KB）,boekikanri/download/import/2007/20071227_001_im.pdf,輸入,
2007年12月27日,「医薬品類の輸入の承認について」の一部改正について（PDF形式：90KB）,boekikanri/download/import/2007/20071227_002_im.pdf,輸入,
2007年12月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（1月）（PDF形式：161KB）,boekikanri/download/misc/2007/20071225_003_zz.pdf,その他,
2007年12月25日,（お知らせ）財務大臣が日本銀行本店において公示している平成20年1月1日から平成20年6月30日までの間において適用される基準外国為替相場及び裁定外国為替相場について（PDF形式：97KB）,boekikanri/download/misc/2007/20071225_004_zz.pdf,その他,
2007年12月25日,輸入公表の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：50KB）,boekikanri/download/import/2007/20071225_005_im.pdf,輸入,
2007年12月25日,輸出注意事項の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：59KB）,boekikanri/download/export/2007/20071225_006_ex.pdf,輸出,
2007年12月13日,年末年始における輸出入承認及び関税割当関係等の申請受付について（貿易審査課）（PDF形式：70KB）,boekikanri/download/misc/2007/20071213_007_zz.pdf,その他,
2007年11月26日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（12月）（PDF形式：161KB）,boekikanri/download/misc/2007/20071126_008_zz.pdf,その他,
2007年11月26日,輸入公表の一部改正について（被占領地域流出文化財関係）（PDF形式：56KB）,boekikanri/download/import/2007/20071126_009_im.pdf,輸入,
2007年11月26日,「輸入貿易管理令第十四条ただし書の規定に基づく経済産業大臣が定める場合」の一部改正について（被占領地域流出文化財関係）（PDF形式：48KB）,boekikanri/download/import/2007/20071126_010_im.pdf,輸入,
2007年11月26日,「武力紛争の際の文化財の保護に関する法律（平成十九年法律第三十二号）第二条第四号に規定する被占領地域流出文化財の輸入に関する確認について」の制定について（PDF形式：127KB）,boekikanri/download/import/2007/20071126_011_im.pdf,輸入,
2007年11月26日,被占領地域流出文化財の輸入に関する問い合わせについて（PDF形式：81KB）,boekikanri/download/import/2007/20071126_012_im.pdf,輸入,
2007年10月31日,輸入公表の一部改正について（化学物質の追加）（PDF形式：55KB）,boekikanri/download/import/2007/20071031_013_im.pdf,輸入,
2007年10月31日,「試験研究用のクロルデン類等の輸入に関する確認について」等の一部改正について（PDF形式：117KB）,boekikanri/download/import/2007/20071031_014_im.pdf,輸入,
2007年10月31日,「化学物質の輸出承認について」の一部改正について（PDF形式：73KB）,boekikanri/download/export/2007/20071031_015_ex.pdf,輸出,
2007年10月31日,「輸出貿易管理令の運用について」の一部改正について（PDF形式：83KB）,boekikanri/download/export/2007/20071031_016_ex.pdf,輸出,
2007年10月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（11月）（PDF形式：161KB）,boekikanri/download/misc/2007/20071025_017_zz.pdf,その他,
2007年10月24日,輸入公表の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：55KB）,boekikanri/download/import/2007/20071024_018_im.pdf,輸入,
2007年10月24日,輸出注意事項の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：63KB）,boekikanri/download/export/2007/20071024_019_ex.pdf,輸出,
2007年10月15日,「化学物質の輸出承認について」の一部改正について （PDF形式：76KB）,boekikanri/download/export/2007/20071015_020_ex.pdf,輸出,
2007年10月12日,「輸入公表（輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項）の一部改正について受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項）」の一部改正について（PDF形式：46KB）,boekikanri/download/seisai/kitachosen/20071012_021_sn.pdf,経済制裁,
2007年10月11日,「絶滅のおそれのある野生動植物等に係る輸出許可書の申請要領等について」の一部改正について（PDF形式：276KB）,boekikanri/download/cites/2007/20071011_026_ci.pdf,輸出,
2007年10月11日,「絶滅のおそれのある野生動植物の種の国際取引に関する条約の締約国等について」の制定について（PDF形式：76KB）,boekikanri/download/cites/2007/20071011_027_ci.pdf,輸出,
2007年10月9日,【プレス発表資料】外国為替及び外国貿易法に基づく北朝鮮からの輸入禁止措置等の継続について（PDF形式：21KB）,boekikanri/download/seisai/kitachosen/20071009_028_sn.pdf,経済制裁,
2007年10月2日,輸入公表の一部改正について（麻薬の追加）（PDF形式：50KB）,boekikanri/download/import/2007/20071002_029_im.pdf,輸入,
2007年10月2日,「医薬品類の輸入の承認について」の一部改正について（PDF形式：97KB）,boekikanri/download/import/2007/20071002_030_im.pdf,輸入,
2007年9月28日,輸入公表の一部改正について（キンバリー・プロセス証明制度関係）（PDF形式：52KB）,boekikanri/download/import/2007/20070928_031_im.pdf,輸入,
2007年9月28日,「貨物の原産地又は船積地域に係る輸入の承認について」の一部改正等について（PDF形式：132KB）,boekikanri/download/import/2007/20070928_032_im.pdf,輸入,
2007年9月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（10月）（PDF形式：161KB）,boekikanri/download/misc/2007/20070925_033_zz.pdf,その他,
2007年9月21日,米国向けのワシントン条約に基づく輸出許可書等の取り扱いについて（お知らせ）（PDF形式：115KB）,boekikanri/download/cites/2007/20070921_034_ci.pdf,輸出,
2007年9月4日,海外旅行に行かれる皆様へ（海外で購入されるおみやげにご注意下さい）（PDF形式：230KB）,boekikanri/download/cites/2007/20070904_035_ci.pdf,輸出入,
2007年8月27日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（9月）（PDF形式：161KB）,boekikanri/download/misc/2007/20070827_036_zz.pdf,その他,
2007年8月24日,「「国際貿易の対象となる特定の有害な化学物質及び駆除剤についての事前のかつ情報に基づく同意の手続に関するロッテルダム条約」及び「残留性有機汚染物質に関するストックホルム条約」の締約国について」の一部改正について（PDF形式：64KB）,boekikanri/download/export/2007/20070824_037_ex.pdf,輸出,
2007年8月1日,輸入公表の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：53KB）,boekikanri/download/import/2007/20070801_038_im.pdf,輸入,
2007年8月1日,輸出注意事項の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：60KB）,boekikanri/download/export/2007/20070801_039_ex.pdf,輸出,
2007年8月1日,「「国際貿易の対象となる特定の有害な化学物質及び駆除剤についての事前のかつ情報に基づく同意の手続に関するロッテルダム条約」及び「残留性有機汚染物質に関するストックホルム条約」の締約国について」の一部改正について（PDF形式：65KB）,boekikanri/download/export/2007/20070801_040_ex.pdf,輸出,
2007年7月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（8月）（PDF形式：161KB）,boekikanri/download/misc/2007/20070725_041_zz.pdf,その他,
2007年7月12日,「輸入承認証の分割について」の制定について（PDF形式：116KB）,boekikanri/download/import/2007/20070712_042_im.pdf,輸入,
2007年6月29日,「関税法第69条の12第1項の認定手続が執られた貨物の輸出承認について」の一部改正について（PDF形式：73KB）,boekikanri/download/export/2007/20070629_043_ex.pdf,輸出,
2007年6月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（7月）（PDF形式：161KB）,boekikanri/download/misc/2007/20070625_044_zz.pdf,その他,
2007年6月25日,（お知らせ）財務大臣が日本銀行本店において公示している平成19年7月1日から平成19年12月31日までの間において適用される基準外国為替相場及び裁定外国為替相場について（PDF形式：97KB）,boekikanri/download/misc/2007/20070625_045_zz.pdf,その他,
2007年6月1日,「輸出貿易管理令の運用について」の一部改正について（PDF形式：97KB）,boekikanri/download/export/2007/20070601_046_ex.pdf,輸出,
2007年5月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（6月）（PDF形式：161KB）,boekikanri/download/misc/2007/20070525_047_zz.pdf,その他,
2007年5月18日,【プレス発表資料】外国為替及び外国貿易法に基づくイランの拡散上機微な核活動及び核兵器運搬手段の開発に関連する資金の移転の防止及び貨物の輸入の禁止等の措置について（PDF形式：129KB）,boekikanri/download/seisai/iran/20070518_048_si.pdf,経済制裁,
2007年5月1日,輸入公表の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：55KB）,boekikanri/download/import/2007/20070501_049_im.pdf,輸入,
2007年5月1日,輸出注意事項の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：62KB）,boekikanri/download/export/2007/20070501_050_ex.pdf,輸出,
2007年5月1日,「キンバリー・プロセス証明制度の参加国等について」の一部改正について（PDF形式：55KB）,boekikanri/download/exim/2007/20070501_051_ei.pdf,輸出入,
2007年4月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（5月）（PDF形式：161KB）,boekikanri/download/misc/2007/20070425_052_zz.pdf,その他,
2007年4月13日,「輸入公表（輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項）の一部改正について受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項）」の一部改正について（PDF形式：47KB）,boekikanri/download/seisai/kitachosen/20070413_053_sn.pdf,経済制裁,
2007年4月10日,【プレス発表資料】外国為替及び外国貿易法に基づく北朝鮮からの輸入禁止措置等の継続について（PDF形式：116KB）,boekikanri/download/seisai/kitachosen/20070410_057_sn.pdf,経済制裁,
2007年4月6日,輸入公表の一部改正について（化学兵器禁止条約の締約国等の追加）（PDF形式：48KB）,boekikanri/download/import/2007/20070406_058_im.pdf,輸入,
2007年3月30日,「原産地及び船積地の解釈」の一部改正について（PDF形式：47KB）,boekikanri/download/import/2007/20070330_059_im.pdf,輸入,
2007年3月26日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（4月）（PDF形式：161KB）,boekikanri/download/misc/2007/20070326_060_zz.pdf,その他,
2007年3月26日,「輸入公表三の7の（3）に基づく経済産業大臣の輸入に関する確認について」の一部改正について（PDF形式：164KB）,boekikanri/download/import/2007/20070326_061_im.pdf,輸入,
2007年3月26日,「生鮮又は冷蔵のみなみまぐろを輸入する場合の取扱いについて」の一部改正について（PDF形式：165KB）,boekikanri/download/import/2007/20070326_062_im.pdf,輸入,
2007年3月5・6日,改正等法令はこちら,http://www.meti.go.jp/policy/external_economy/trade_control/03_import/04_suisan/importquota.html,,
2007年3月2日,輸入公表の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：52KB）,boekikanri/download/import/2007/20070302_063_im.pdf,輸入,
2007年3月2日,輸出注意事項の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：61KB）,boekikanri/download/export/2007/20070302_064_ex.pdf,輸出,
2007年3月1日,「血液製剤の輸出承認について」の一部改正について（PDF形式：90KB）,boekikanri/download/export/2007/20070301_065_ex.pdf,輸出,
2007年2月26日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（3月）（PDF形式：76KB）,boekikanri/download/misc/2007/20070226_066_zz.pdf,その他,
2007年2月16日,外国為替及び外国貿易法に基づくイランの拡散上機微な核活動及び核兵器運搬手段の開発に関連する資金の移転の防止及び貨物の輸入の禁止等の措置について（PDF形式：158KB）,boekikanri/download/seisai/iran/20070216_067_si.pdf,,
2007年2月14日,輸入公表の一部改正について（PDF形式：48KB）,boekikanri/download/import/2007/20070214_068_im.pdf,輸入,
2007年1月25日,輸入公表の一部改正について（麻薬の追加）（PDF形式：50KB）,boekikanri/download/import/2007/20070125_070_im.pdf,輸入,
2007年1月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（2月）（PDF形式：161KB）,boekikanri/download/misc/2007/20070125_071_zz.pdf,その他,
2006年12月27日,輸入公表の一部改正について（PDF形式：67KB）,boekikanri/download/import/2006/20061227_001_im.pdf,輸出入,
2006年12月27日,【関税法改正に伴う改正】 輸出注意事項の一部改正について（輸出貿易管理令別表第2の45の項関係）（PDF形式：97KB）,boekikanri/download/export/2006/20061227_006_ex.pdf,輸出,
2006年12月26日,輸入公表の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：54KB）,boekikanri/download/import/2006/20061226_007_im.pdf,輸入,
2006年12月26日,輸出注意事項の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：63KB）,boekikanri/download/export/2006/20061226_008_ex.pdf,輸出,
2006年12月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（1月）（PDF形式：76KB）,boekikanri/download/misc/2006/20061225_009_zz.pdf,その他,
2006年12月25日,（お知らせ）財務大臣が日本銀行本店において公示している平成19年1月1日から平成19年6月30日までの間において適用される基準外国為替相場及び裁定外国相場について（PDF形式：97KB）,boekikanri/download/misc/2006/20061225_010_zz.pdf,その他,
2006年12月4日,輸入公表の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：52KB）,boekikanri/download/import/2006/20061204_011_im.pdf,輸入,
2006年12月4日,輸出注意事項の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：58KB）,boekikanri/download/export/2006/20061204_012_ex.pdf,輸出,
2006年11月27日,年末年始における輸出入及び関税割当関係等の申請受付について（PDF形式：97KB）,boekikanri/download/misc/2006/20061127_013_zz.pdf,その他,
2006年11月27日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（12月）（PDF形式：163KB）,boekikanri/download/misc/2006/20061127_014_zz.pdf,その他,
2006年11月14日,【プレス発表資料】北朝鮮への奢侈品の輸出禁止措置等について（PDF形式：149KB）,boekikanri/download/seisai/kitachosen/20061114_015_sn.pdf,経済制裁,
2006年10月27日,「原産地及び船積地の解釈について」の一部改正について（PDF形式：64KB）,boekikanri/download/import/2006/20061027_016_im.pdf,輸入,
2006年10月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（11月）（PDF形式：163KB）,boekikanri/download/misc/2006/20061025_018_zz.pdf,その他,
2006年10月19日,外国為替及び外国貿易法に基づく北朝鮮からの輸入禁止措置等の厳格な実施について（PDF形式：62KB）,boekikanri/download/seisai/kitachosen/20061019_019_sn.pdf,経済制裁,
2006年10月19日,輸入公表の一部改正について（化学兵器禁止条約関係）（PDF形式：49KB）,boekikanri/download/import/2006/20061019_020_im.pdf,輸入,
2006年10月13日,【プレス発表資料】外国為替及び外国貿易法に基づく北朝鮮からの輸入禁止措置等について（PDF形式：119KB）,boekikanri/download/seisai/kitachosen/20061013_021_sn.pdf,経済制裁,
2006年10月12日,輸入公表の一部改正について（麻薬等の追加）（PDF形式：53KB）,boekikanri/download/import/2006/20061012_022_im.pdf,輸入,
2006年9月26日,輸入公表の一部改正について（モントリオール議定書締約国等追加）（PDF形式：10KB）,boekikanri/download/import/2006/20060926_023_im.pdf,輸入,
2006年9月26日,輸出注意事項の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：8KB）,boekikanri/download/export/2006/20060926_024_ex.pdf,輸出,
2006年9月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（10月）（PDF形式：14KB）,boekikanri/download/misc/2006/20060925_025_zz.pdf,その他,
2006年9月19日,【プレス発表資料】外国為替及び外国貿易法に基づく北朝鮮のミサイル又は大量破壊兵器計画に関連する資金の移転を防止する措置について,http://www.meti.go.jp/press/20060919006/20060919006.html,,
2006年9月19日,輸入公表の一部を改正する告示について（化学兵器禁止条約の締約国追加）（PDF形式：7KB）,boekikanri/download/import/2006/20060919_026_im.pdf,輸入,
2006年8月25日,輸入公表の一部改正について（労働安全衛生法施行令改正に伴う改正）（PDF形式：11KB）,boekikanri/download/import/2006/20060825_027_im.pdf,輸入,
2006年8月25日,「化学物質の輸出承認について」の一部改正について（ロッテルダム条約に基づく規制対象物質の追加）（PDF形式：11KB）,boekikanri/download/export/2006/20060825_028_ex.pdf,輸出,
2006年8月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（9月）（PDF形式：14KB）,boekikanri/download/misc/2006/20060825_029_zz.pdf,その他,
2006年8月18日,輸入公表の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：11KB）,boekikanri/download/import/2006/20060818_030_im.pdf,輸入,
2006年8月18日,輸出注意事項の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：8KB）,boekikanri/download/export/2006/20060818_031_ex.pdf,輸出,
2006年7月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（8月）（PDF形式：14KB）,boekikanri/download/misc/2006/20060725_032_zz.pdf,その他,
2006年6月26日,「電子許可・承認・確認に係る貨物の税関への輸出入申告時等に通関データベースシステムの停止があった場合の取扱いについて」の一部改正について（PDF形式：125KB）,boekikanri/download/exim/2006/20060626_033_ei.pdf,輸出入,
2006年6月26日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（7月）（PDF形式：14KB）,boekikanri/download/misc/2006/20060626_034_zz.pdf,その他,
2006年6月26日,（お知らせ）財務大臣が日本銀行本店において公示している平成18年7月1日から平成18年12月31日までの間において適用される基準外国為替相場及び裁定外国相場について（PDF形式：13KB）,boekikanri/download/misc/2006/20060626_035_zz.pdf,その他,
2006年6月9日,輸出注意事項の一部改正について（別表第2の45の項関係）（PDF形式：12KB）,boekikanri/download/export/2006/20060609_036_ex.pdf,輸出,
2006年6月1日,輸出注意事項の一部改正について（別表第2の45の項関係）（PDF形式：17KB）,boekikanri/download/export/2006/20060601_037_ex.pdf,輸出,
2006年5月30日,輸入公表の一部改正について（火薬取締法関係）（PDF形式：17KB）,boekikanri/download/import/2006/20060530_038_im.pdf,輸入,
2006年5月30日,「国際貿易の対象となる特定の有害な化学物質及び駆除剤についての事前のかつ情報に基づく同意の手続に関するロッテルダム条約及び残留性有機汚染物質に関するストックホルム条約の締約国について」の一部改正について（PDF形式：7KB）,boekikanri/download/export/2006/20060530_039_ex.pdf,輸出,
2006年5月25日,輸出及び輸入関係書類に記載すべきアメリカ合衆国通貨への換算率について（6月）（PDF形式：15KB）,boekikanri/download/misc/2006/20060525_040_zz.pdf,その他,
2006年5月19日,「中華人民共和国を原産地とするにんにく及びしょうがを輸入した者が報告すべき事項を定める件」の廃止について（PDF形式：6KB）,boekikanri/download/import/2006/20060519_041_im.pdf,輸入,
2006年5月15日,,,その他,
2006年5月12日,輸入公表の一部改正について（モントリオール議定書締約国等の追加）（PDF形式：12KB）,boekikanri/download/import/2006/20060512_042_im.pdf,輸入,
2006年5月12日,輸出注意事項の一部改正等について（モントリオール議定書締約国等の追加等）（PDF形式：21KB）,boekikanri/download/export/2006/20060512_043_ex.pdf,輸出,
